id,model,n_estimators,lr,mae
148,model148,950,0.0125,0.580853697888427
149,model149,950,0.01,0.5813569945246908
150,model150,950,0.008333333333333333,0.5824454967139405
151,model151,950,0.0071428571428571435,0.5832270056258504
152,model152,950,0.00625,0.5841724968246937
153,model153,950,0.005555555555555556,0.58534544089173
154,model154,1000,0.05,0.5814070615181446
155,model155,1000,0.025,0.5800518017601655
156,model156,1000,0.016666666666666666,0.5802661196059238
157,model157,1000,0.0125,0.5806829093093653
158,model158,1000,0.01,0.5811686064347399
159,model159,1000,0.008333333333333333,0.5821585183368051
160,model160,1000,0.0071428571428571435,0.5829542908395265
161,model161,1000,0.00625,0.5837373167496092
162,model162,1000,0.005555555555555556,0.5847558654181224
